Name,Pos,Total,Url
Andy Grammer,289,"236,046,830",artist/2oX42qP5ineK3hrhBECLmj.html
Meek Mill,290,"235,755,632",artist/20sxb77xiYeusSH8cVdatc.html
Showtek,291,"234,244,721",artist/3gk0OYeLFWYupGFRHqLSR7.html
Playboi Carti,292,"233,958,301",artist/699OTQXzgjhIYAHMy9RyPD.html
Kevin Gates,293,"233,624,511",artist/1gPhS1zisyXr5dHTYZyiMe.html
Florida Georgia Line,294,"231,045,503",artist/3b8QkneNDz4JHKKKlLgYZg.html
Future,295,"230,077,883",artist/7iwbaEly4BlwCFpNA6S6fW.html
Linkin Park,296,"229,153,162",artist/6XyY86QOPPrYVGvF9ch6wz.html
SZA,297,"228,994,867",artist/7tYKF4w9nC0nq9CsPZTHyP.html
Ella Henderson,298,"226,125,579",artist/7nDsS0l5ZAzMedVRKPP8F1.html
Marama,299,"224,914,179",artist/4GepMkTgrIZECoCC55vqjW.html
Thomas Rhett,300,"222,618,862",artist/6x2LnllRG5uGarZMsD4iO8.html
Dante Klein,301,"221,638,941",artist/1b4DN8Vj0dnj5cceMFsRYN.html
Mc Kevinho,302,"221,502,191",artist/1mXAhKnZEdF6rotyyd4GBi.html
PnB Rock,303,"216,232,026",artist/21WS9wngs9AqFckK7yYJPM.html
Timeflies,304,"214,901,954",artist/6dC0rIJNLSFZwqckLgXJ8p.html
Rombai,305,"214,461,800",artist/5KQX0Ui06LVm6PApyicRFK.html
T.I.,306,"211,491,818",artist/4OBJLual30L7gRl5UkeRcT.html
Nile Rodgers,307,"210,712,466",artist/3yDIp0kaq9EFKe07X1X2rz.html
Verdine White,308,"208,298,610",artist/4tMJliVd96wXoMVNdcOBHp.html
Tinie Tempah,309,"207,683,492",artist/0Tob4H0FLtEONHU1MjpUEp.html
Rob $Tone,310,"207,459,947",artist/2hWs22BmQkK4czFtDLnar2.html
Echosmith,311,"207,415,094",artist/1PbBg2aYjWLKRk84zJK15x.html
Gzuz,312,"205,976,302",artist/5eioJDe26lOqkAMbuhzZYs.html
Martin Solveig,313,"204,031,145",artist/1bj5GrcLom5gZFF5t949Xl.html
Macklemore,314,"203,701,302",artist/3JhNCzhSMTxs9WLGJJxWOY.html
NEIKED,315,"202,746,553",artist/5H6xmHXjsq98NLbEjuE29f.html
J. Davi$,316,"201,342,236",artist/1rs3y69kDwkIdGJcOYngQt.html
Spooks,317,"201,342,236",artist/5UEdalZXwxU3mzNl1xWr5y.html
Chris Jeday,318,"199,943,120",artist/0qTZZWLzuD59Un5r1speHm.html
Kehlani,319,"198,262,379",artist/0cGUm45nv7Z6M6qdXYQGTX.html
Christina Aguilera,320,"197,573,789",artist/1l7ZsJRRS8wlW3WfJfPfNS.html
